drugbank_id	entrez_gene	affinity_nM	n_pairs
DB00316	1543	19100	1
DB00316	4151	2300	1
DB00316	5743	10001	1
DB00316	11238	296000	1
DB00316	23632	10600	1
DB00317	25	2509.89114949219	1
DB00317	27	4000.19999500025	1
DB00317	90	10001	1
DB00317	91	10001	1
DB00317	92	10001	1
DB00317	93	10001	1
DB00317	94	10001	1
DB00317	207	10001	1
DB00317	208	10001	1
DB00317	238	10001	1
DB00317	558	4242.85281385061	1
DB00317	640	12000	1
DB00317	657	10001	1
DB00317	658	10001	1
DB00317	659	10001	1
DB00317	660	10001	1
DB00317	673	10001	1
DB00317	695	10001	1
DB00317	780	10001	1
DB00317	814	10001	1
DB00317	818	10001	1
DB00317	984	10001	1
DB00317	1017	10001	1
DB00317	1018	10001	1
DB00317	1019	10001	1
DB00317	1020	10001	1
DB00317	1022	2469.94129484893	1
DB00317	1024	10001	1
DB00317	1025	10001	1
DB00317	1195	10001	1
DB00317	1196	10001	1
DB00317	1198	10001	1
DB00317	1263	10001	1
DB00317	1432	10001	1
DB00317	1436	10001	1
DB00317	1445	10001	1
DB00317	1452	10001	1
DB00317	1454	3551.06678855933	1
DB00317	1455	10001	1
DB00317	1456	10001	1
DB00317	1457	10001	1
DB00317	1459	10001	1
DB00317	1612	10001	1
DB00317	1613	36890.7087104075	1
DB00317	1760	68999.9999999999	1
DB00317	1859	10001	1
DB00317	1956	7.2423955883128	1
DB00317	1969	10001	1
DB00317	2011	10001	1
DB00317	2042	7416.56928775024	1
DB00317	2043	10001	1
DB00317	2044	3873.17699053374	1
DB00317	2045	10001	1
DB00317	2046	18000	1
DB00317	2048	10001	1
DB00317	2049	10001	1
DB00317	2050	5000.24999375032	1
DB00317	2051	3200	1
DB00317	2064	2379.63085393516	1
DB00317	2065	790	1
DB00317	2066	12965.3384066904	1
DB00317	2081	10001	1
DB00317	2185	10001	1
DB00317	2241	10001	1
DB00317	2242	10001	1
DB00317	2260	10001	1
DB00317	2263	10001	1
DB00317	2264	10001	1
DB00317	2268	5099.27445819501	1
DB00317	2321	10001	1
DB00317	2322	2734.48820156638	1
DB00317	2324	10001	1
DB00317	2444	20000	1
DB00317	2475	10001	1
DB00317	2534	10001	1
DB00317	2868	10001	1
DB00317	2872	803.319540098604	1
DB00317	2931	10001	1
DB00317	2932	10001	1
DB00317	3055	44000	1
DB00317	3480	10001	1
DB00317	3551	10001	1
DB00317	3643	10001	1
DB00317	3645	10001	1
DB00317	3654	69	1
DB00317	3702	10001	1
DB00317	3717	10001	1
DB00317	3718	10001	1
DB00317	3791	10001	1
DB00317	3932	4072.42958099598	1
DB00317	3984	10001	1
DB00317	3985	10001	1
DB00317	4058	7416.56928775024	1
DB00317	4067	9899.99999999999	1
DB00317	4117	10001	1
DB00317	4139	10001	1
DB00317	4140	10001	1
DB00317	4145	10001	1
DB00317	4214	10001	1
DB00317	4215	2100	1
DB00317	4217	10001	1
DB00317	4233	7692.18253634949	1
DB00317	4293	10001	1
DB00317	4294	10001	1
DB00317	4296	10001	1
DB00317	4593	10001	1
DB00317	4638	10001	1
DB00317	4750	10001	1
DB00317	4751	10001	1
DB00317	4752	10001	1
DB00317	4914	10001	1
DB00317	4915	10001	1
DB00317	4916	10001	1
DB00317	4921	10001	1
DB00317	5058	10001	1
DB00317	5062	10001	1
DB00317	5063	10001	1
DB00317	5127	10001	1
DB00317	5128	10001	1
DB00317	5129	10001	1
DB00317	5156	10001	1
DB00317	5159	10001	1
DB00317	5170	10001	1
DB00317	5218	10001	1
DB00317	5260	37000	1
DB00317	5261	5570.09225770024	1
DB00317	5287	10001	1
DB00317	5288	10001	1
DB00317	5290	10001	1
DB00317	5291	10001	1
DB00317	5292	10001	1
DB00317	5293	10001	1
DB00317	5294	10001	1
DB00317	5298	10001	1
DB00317	5347	10001	1
DB00317	5562	10001	1
DB00317	5563	10001	1
DB00317	5566	10001	1
DB00317	5567	10001	1
DB00317	5580	10001	1
DB00317	5581	10001	1
DB00317	5584	10001	1
DB00317	5585	10001	1
DB00317	5586	10001	1
DB00317	5587	5916.37557969404	1
DB00317	5588	10001	1
DB00317	5593	10001	1
DB00317	5594	10001	1
DB00317	5595	10001	1
DB00317	5596	31000	1
DB00317	5597	16000	1
DB00317	5598	10001	1
DB00317	5599	10001	1
DB00317	5600	10001	1
DB00317	5601	2876.56016139369	1
DB00317	5602	2866.43829681276	1
DB00317	5603	10001	1
DB00317	5604	10001	1
DB00317	5605	10001	1
DB00317	5606	10001	1
DB00317	5607	600	1
DB00317	5608	10001	1
DB00317	5609	10001	1
DB00317	5610	10001	1
DB00317	5613	10001	1
DB00317	5747	10001	1
DB00317	5753	10001	1
DB00317	5871	10001	1
DB00317	5894	10001	1
DB00317	5979	10001	1
DB00317	6011	10001	1
DB00317	6093	10001	1
